profile,asset,file,source,history_days,start_date,end_date,daily_rows,max_gap_days,non_na_close_ratio
phase68b_dynamic_repair_fast6,PYTH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\PYTHUSDT_1d.csv,phase67_top100_downloads,786,2024-02-02,2026-03-28,786,1,100.0
phase68b_dynamic_repair_fast6,QNT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\QNTUSDT_1d.csv,phase67_top100_downloads,1704,2021-07-29,2026-03-28,1704,1,100.0
phase68b_dynamic_repair_fast6,RENDER,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\RENDERUSDT_1d.csv,phase67_top100_downloads,611,2024-07-26,2026-03-28,611,1,100.0
phase68b_dynamic_repair_fast6,RLUSD,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\RLUSDUSDT_1d.csv,phase67_top100_downloads,66,2026-01-22,2026-03-28,66,1,100.0
phase68b_dynamic_repair_fast6,S,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SUSDT_1d.csv,phase67_top100_downloads,437,2025-01-16,2026-03-28,437,1,100.0
phase68b_dynamic_repair_fast6,SAND,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SANDUSDT_1d.csv,phase67_top100_downloads,2053,2020-08-14,2026-03-28,2053,1,100.0
phase68b_dynamic_repair_fast6,SEI,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SEIUSDT_1d.csv,phase67_top100_downloads,957,2023-08-15,2026-03-28,957,1,100.0
phase68b_dynamic_repair_fast6,SHIB,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SHIBUSDT_1d.csv,phase67_top100_downloads,1784,2021-05-10,2026-03-28,1784,1,100.0
phase68b_dynamic_repair_fast6,SKY,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SKYUSDT_1d.csv,phase67_top100_downloads,193,2025-09-17,2026-03-28,193,1,100.0
phase68b_dynamic_repair_fast6,SOL,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SOLUSDT_1d.csv,phase67_top100_downloads,2056,2020-08-11,2026-03-28,2056,1,100.0
phase68b_dynamic_repair_fast6,STRK,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\STRKUSDT_1d.csv,phase67_top100_downloads,768,2024-02-20,2026-03-28,768,1,100.0
phase68b_dynamic_repair_fast6,STX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\STXUSDT_1d.csv,phase67_top100_downloads,2347,2019-10-25,2026-03-28,2347,1,100.0
phase68b_dynamic_repair_fast6,SUI,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SUIUSDT_1d.csv,phase67_top100_downloads,1061,2023-05-03,2026-03-28,1061,1,100.0
phase68b_dynamic_repair_fast6,SUN,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SUNUSDT_1d.csv,phase67_top100_downloads,2015,2020-09-21,2026-03-28,2012,4,100.0
phase68b_dynamic_repair_fast6,SYRUP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SYRUPUSDT_1d.csv,phase67_top100_downloads,327,2025-05-06,2026-03-28,327,1,100.0
phase68b_dynamic_repair_fast6,TAO,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TAOUSDT_1d.csv,phase67_top100_downloads,717,2024-04-11,2026-03-28,717,1,100.0
phase68b_dynamic_repair_fast6,THETA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\THETAUSDT_1d.csv,phase67_top100_downloads,2545,2019-04-10,2026-03-28,2545,1,100.0
phase68b_dynamic_repair_fast6,TIA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TIAUSDT_1d.csv,phase67_top100_downloads,880,2023-10-31,2026-03-28,880,1,100.0
phase68b_dynamic_repair_fast6,TON,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TONUSDT_1d.csv,phase67_top100_downloads,598,2024-08-08,2026-03-28,598,1,100.0
phase68b_dynamic_repair_fast6,TRUMP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TRUMPUSDT_1d.csv,phase67_top100_downloads,434,2025-01-19,2026-03-28,434,1,100.0
phase68b_dynamic_repair_fast6,TRX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TRXUSDT_1d.csv,phase67_top100_downloads,2644,2019-01-01,2026-03-28,2644,1,100.0
phase68b_dynamic_repair_fast6,TWT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TWTUSDT_1d.csv,phase67_top100_downloads,1887,2021-01-27,2026-03-28,1887,1,100.0
phase68b_dynamic_repair_fast6,UNI,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\UNIUSDT_1d.csv,phase67_top100_downloads,2019,2020-09-17,2026-03-28,2019,1,100.0
phase68b_dynamic_repair_fast6,VET,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\VETUSDT_1d.csv,phase67_top100_downloads,2644,2019-01-01,2026-03-28,2644,1,100.0
phase68b_dynamic_repair_fast6,VIRTUAL,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\VIRTUALUSDT_1d.csv,phase67_top100_downloads,352,2025-04-11,2026-03-28,352,1,100.0
phase68b_dynamic_repair_fast6,WAL,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\WALUSDT_1d.csv,phase67_top100_downloads,170,2025-10-10,2026-03-28,170,1,100.0
phase68b_dynamic_repair_fast6,WIF,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\WIFUSDT_1d.csv,phase67_top100_downloads,754,2024-03-05,2026-03-28,754,1,100.0
phase68b_dynamic_repair_fast6,WLD,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\WLDUSDT_1d.csv,phase67_top100_downloads,979,2023-07-24,2026-03-28,979,1,100.0
phase68b_dynamic_repair_fast6,WLFI,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\WLFIUSDT_1d.csv,phase67_top100_downloads,209,2025-09-01,2026-03-28,209,1,100.0
phase68b_dynamic_repair_fast6,XLM,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XLMUSDT_1d.csv,phase67_top100_downloads,2644,2019-01-01,2026-03-28,2644,1,100.0
phase68b_dynamic_repair_fast6,XPL,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XPLUSDT_1d.csv,phase67_top100_downloads,185,2025-09-25,2026-03-28,185,1,100.0
phase68b_dynamic_repair_fast6,XRP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XRPUSDT_1d.csv,phase67_top100_downloads,2644,2019-01-01,2026-03-28,2644,1,100.0
phase68b_dynamic_repair_fast6,XTZ,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XTZUSDT_1d.csv,phase67_top100_downloads,2378,2019-09-24,2026-03-28,2378,1,100.0
phase68b_dynamic_repair_fast6,ZEC,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ZECUSDT_1d.csv,phase67_top100_downloads,2565,2019-03-21,2026-03-28,2565,1,100.0
phase68b_dynamic_repair_fast6,ZK,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ZKUSDT_1d.csv,phase67_top100_downloads,650,2024-06-17,2026-03-28,650,1,100.0
phase68b_dynamic_repair_fast6,ZRO,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ZROUSDT_1d.csv,phase67_top100_downloads,647,2024-06-20,2026-03-28,647,1,100.0
